cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Mean baseline,536,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Elastic Net,536,0.0672317574329877,0.0736297107892376,0.462004154948033,-0.0113965252155653,0.1539743185720681,-0.0138092388721919,0.160773433535625,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Random forest,536,0.1140651815936232,0.0933892901700446,0.3062797939085133,0.027739330223419,0.2012149162592643,0.0101664035299055,0.1803106654731609,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Mean baseline,536,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Elastic Net,536,0.0090283541322216,0.0221750070718822,0.462004154948033,-0.0707843347923907,0.0942147439833287,-0.0607478490208622,0.1097025533744129,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Random forest,536,0.0530065985176523,0.0344036357657231,0.3062797939085133,-0.0373125912122494,0.1440749935100244,-0.0561840284912046,0.1268818986825548,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,351,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,351,0.2196621803603547,0.1930555555555555,0.371016605906916,0.1093145430402503,0.3222080141807512,0.0860463066163304,0.2852549599389544,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Random forest,351,0.1396942378243766,0.1443575868575868,0.2884051384597536,0.038700633632977,0.2386267717586127,0.034679803055967,0.246047190382374,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Mean baseline,351,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Elastic Net,351,0.138694910074643,0.1512101787101787,0.371016605906916,0.022812405709879,0.2482088819969917,0.0369662152430602,0.2572399320909532,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Random forest,351,0.0721242814212978,0.108561161061161,0.2884051384597536,-0.0316417170001513,0.1845438091078378,0.005065976997092,0.2202338474241255,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,554,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
