cohort,dataset,outcome,model,n,gene_pearson_r,pathway_pearson_r,pearson_difference_pathway_minus_gene,pearson_difference_ci_2_5,pearson_difference_ci_97_5,pearson_conclusion,gene_spearman_rho,pathway_spearman_rho,spearman_difference_pathway_minus_gene,spearman_difference_ci_2_5,spearman_difference_ci_97_5,spearman_conclusion,successful_paired_bootstraps,panel_order,drug_name,study_role,mechanism_class
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,351,0.2481052024183552,0.1396942378243766,-0.1084109645939786,-0.203448917065221,-0.0129344210399833,individual genes favored,0.2582381507381507,0.1443575868575868,-0.1138805638805638,-0.2105579823777108,-0.0188520601255991,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,AUC,Elastic Net,351,0.1840514158649838,0.138694910074643,-0.0453565057903407,-0.1746625962188724,0.0737648737574344,difference uncertain,0.1960375735375735,0.1512101787101787,-0.0448273948273948,-0.1760074127640934,0.073008153334282,difference uncertain,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,AUC,Random forest,351,0.2429861331029032,0.0721242814212978,-0.1708618516816054,-0.2653391263131728,-0.0599083078437794,individual genes favored,0.2499730824730824,0.108561161061161,-0.1414119214119214,-0.2339742565531126,-0.0393696605142522,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Elastic Net,554,0.1473802528508002,0.2068432903966636,0.0594630375458634,-0.0255296786420781,0.146668491462128,difference uncertain,0.1628469200100146,0.2158960509003921,0.0530491308903774,-0.0389599639492567,0.1396308939336896,difference uncertain,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Random forest,554,0.2780163190060531,0.175384775604205,-0.1026315434018481,-0.1691843050613843,-0.0310702319408571,individual genes favored,0.2817901874429773,0.1871780725045816,-0.0946121149383956,-0.1641584100814321,-0.0233542445471531,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Elastic Net,554,0.1818804611156775,0.152095988688468,-0.0297844724272094,-0.1215431869179604,0.0655387933523286,difference uncertain,0.1844292311321512,0.1710709305737409,-0.0133583005584102,-0.1100444287047534,0.0828845934432996,difference uncertain,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Random forest,554,0.2608393063753919,0.1238428569901469,-0.1369964493852449,-0.2079865735538741,-0.0619125432939945,individual genes favored,0.2634260441233891,0.1513520923930831,-0.1120739517303059,-0.180135475025321,-0.0372633803073796,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Elastic Net,336,0.3542281086876439,0.0910339101251779,-0.2631941985624659,-0.3799242459860173,-0.1437508420512928,individual genes favored,0.3264616932294863,0.0724231745047547,-0.2540385187247316,-0.378347130831228,-0.1297093909666855,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Random forest,336,0.2916610108752388,0.0295247354695891,-0.2621362754056497,-0.3531344746309316,-0.174777917631528,individual genes favored,0.2691331388837922,0.0170392210207968,-0.2520939178629954,-0.3452390014904212,-0.1617935113079414,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,AUC,Elastic Net,336,0.3381881928265212,0.0382804230818733,-0.2999077697446479,-0.4128600708544253,-0.1972471621846793,individual genes favored,0.3315305625328212,0.0418293230751709,-0.2897012394576502,-0.413118382256732,-0.1665086028629093,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_strict_sanger_heldout,GDSC1,AUC,Random forest,336,0.2724577794962334,-0.0213312220697389,-0.2937890015659724,-0.3847163746498582,-0.2016313198401325,individual genes favored,0.2490411444262367,-0.0136656691109944,-0.2627068135372312,-0.3497587028375795,-0.1670274428447164,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Elastic Net,527,0.3040075615470974,0.1106429706121235,-0.1933645909349739,-0.2770049681486902,-0.1077039153809929,individual genes favored,0.2750455690008796,0.0901849717731277,-0.1848605972277519,-0.2715396361415294,-0.0927985011259592,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Random forest,527,0.295349649769829,0.0565102254925883,-0.2388394242772406,-0.310447596208559,-0.1650423431776502,individual genes favored,0.2531523614876189,0.0376623938827674,-0.2154899676048514,-0.2925008561360394,-0.1397508955815857,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Elastic Net,527,0.2723206575177784,0.0548769886997998,-0.2174436688179785,-0.3039538238645065,-0.1330087954437635,individual genes favored,0.2659279153830059,0.0490202910775273,-0.2169076243054786,-0.3166637183584325,-0.1146003831081436,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Random forest,527,0.2458848710494658,-0.0139990014837305,-0.2598838725331964,-0.3322737372821392,-0.1830523488207655,individual genes favored,0.219817054973367,-0.0051736967659291,-0.2249907517392962,-0.2999054347269144,-0.1495550828177529,individual genes favored,1000,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Elastic Net,347,0.0862645397659125,0.3706625058930086,0.2843979661270961,0.1198308559136286,0.4422107542383248,pathway favored,0.0702892585957025,0.3308951294704632,0.2606058708747606,0.1119236915780785,0.4046546704177062,pathway favored,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,347,0.3898154949119333,0.2995615428390185,-0.0902539520729148,-0.1763997528910136,-0.0027919150344312,individual genes favored,0.3261929612229084,0.2593165944721664,-0.066876366750742,-0.1512041378009278,0.0132789900239519,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Elastic Net,347,0.0931401985690978,0.3151400969302504,0.2219998983611526,0.0430327792226379,0.4132566173224454,pathway favored,0.0623677766487314,0.2123451733845559,0.1499773967358244,-0.0102566144341166,0.3115854113932474,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Random forest,347,0.3681539702624083,0.2659170723132957,-0.1022368979491125,-0.2054323036703755,0.0001139756300135,difference uncertain,0.2233133570643673,0.1365932199398127,-0.0867201371245546,-0.1725365547746093,0.000756902965119,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Elastic Net,546,0.1132414979977041,0.4056795688398258,0.2924380708421217,0.1815362438518838,0.4159143128199444,pathway favored,0.11402572906355,0.3920468408367373,0.2780211117731873,0.1723802556936429,0.3967159241495407,pathway favored,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Random forest,546,0.4349547712057834,0.3142492302537467,-0.1207055409520367,-0.1775448941606718,-0.0648748610362061,individual genes favored,0.4029882634347353,0.298301470429676,-0.1046867930050594,-0.1622907377448507,-0.0475473123872328,individual genes favored,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Elastic Net,546,0.113213634278488,0.3467140948033061,0.2335004605248181,0.1088951786116848,0.3689059413809424,pathway favored,0.1070604989998512,0.2816514314392649,0.1745909324394137,0.0568658664809734,0.2896571679768657,pathway favored,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Random forest,546,0.3970503434093928,0.2805210941312899,-0.1165292492781029,-0.1768372234692625,-0.0570809202607387,individual genes favored,0.2985752787708409,0.2027945554604729,-0.0957807233103679,-0.1563270561840123,-0.029341809980544,individual genes favored,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Elastic Net,323,0.2277707781065811,0.0349837225207667,-0.1927870555858143,-0.3345858601330953,-0.0425792131418686,individual genes favored,0.1630119629850414,0.0163740553429609,-0.1466379076420804,-0.2958721209414814,0.0133024635319341,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Random forest,323,0.1302958075975799,0.0087575190284106,-0.1215382885691692,-0.2184491389590601,-0.0244626341312296,individual genes favored,0.0196641076974903,-0.031698313701275,-0.0513624213987654,-0.1464588493352869,0.0374069910159987,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,AUC,Elastic Net,323,0.2424658981173724,0.0366799699868782,-0.2057859281304941,-0.3443593582406591,-0.0634536237744499,individual genes favored,0.1573912046384788,-0.0398915732069588,-0.1972827778454376,-0.3489570641071253,-0.0421229654681413,individual genes favored,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,AUC,Random forest,323,0.1833035015199037,0.0316318037551902,-0.1516716977647134,-0.2530486639890293,-0.0419066127507133,individual genes favored,-0.0201882939801906,-0.0756594526953929,-0.0554711587152023,-0.1465297089694368,0.0353541359683854,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Elastic Net,511,0.1925466499865222,0.0675946404639157,-0.1249520095226065,-0.2362826202799428,0.0041218484501052,difference uncertain,0.1508004957119834,0.0460591257050765,-0.1047413700069068,-0.215659992752703,0.0118713703423473,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Random forest,511,0.1601189782563489,0.0558714262124795,-0.1042475520438693,-0.1780207528673197,-0.0361172543344026,individual genes favored,0.0681046391159203,0.015009227149764,-0.0530954119661563,-0.119954516022422,0.0148381427525421,difference uncertain,1000,4,talazoparib,Confirmatory extension,PARP inhibition
