validation_scheme,representation,model,n,pearson_r,spearman_rho,rmse,mae,pearson_difference_pathway_minus_gene,rmse_difference_pathway_minus_gene,gene_set_file,n_pathways,panel_order,drug_name,study_role,mechanism_class
Held-out tissue folds,Hallmark pathways,Random forest,556,0.1274423863535961,0.1244987260228209,1.1866066100741466,0.959670303218745,-0.10229015052106,0.0278290430126095,h.all.v2026.1.Hs.symbols.gmt,50.0,3,docetaxel,Confirmatory extension,Microtubule stabilization
Random cell-line folds,Individual genes,Random forest,553,0.3026022009582149,0.2785513329925411,1.211853201970028,0.9517739204527494,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
Random cell-line folds,Individual genes,Elastic Net,553,0.2757465633165028,0.2795219097157867,1.2451195485021411,0.9913000988180116,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
Random cell-line folds,Individual genes,Mean baseline,553,-0.0550654825394521,-0.0487584369764053,1.2721882813950427,1.0160178174460048,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
Held-out tissue folds,Individual genes,Mean baseline,553,-0.1650076845051347,-0.1504965814115513,1.2808298153877251,1.0241284000454445,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
Held-out tissue folds,Individual genes,Elastic Net,553,0.3302521693553654,0.3155218762231552,1.2080888206691651,0.9715705221607976,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
Held-out tissue folds,Individual genes,Random forest,553,0.2752429437241152,0.248133566343652,1.223240999451182,0.9636594111319082,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
Random cell-line folds,Hallmark pathways,Mean baseline,553,-0.0550654825394521,-0.0487584369764053,1.2721882813950427,1.0160178174460048,-6.938893903907228e-18,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,4,talazoparib,Confirmatory extension,PARP inhibition
Random cell-line folds,Hallmark pathways,Elastic Net,553,0.1833771192849567,0.1920203521665049,1.2512608406925605,0.9809170856058632,-0.0923694440315461,0.0061412921904191,h.all.v2026.1.Hs.symbols.gmt,50.0,4,talazoparib,Confirmatory extension,PARP inhibition
Random cell-line folds,Hallmark pathways,Random forest,553,0.1965242822799424,0.1955873883780001,1.2516599335829206,0.9891839759543246,-0.1060779186782724,0.0398067316128925,h.all.v2026.1.Hs.symbols.gmt,50.0,4,talazoparib,Confirmatory extension,PARP inhibition
Held-out tissue folds,Hallmark pathways,Mean baseline,553,-0.1650076845051347,-0.1504965814115513,1.2808298153877251,1.0241284000454445,-5.551115123125783e-17,2.220446049250313e-16,h.all.v2026.1.Hs.symbols.gmt,50.0,4,talazoparib,Confirmatory extension,PARP inhibition
Held-out tissue folds,Hallmark pathways,Elastic Net,553,0.1613758085400651,0.1560710503601451,1.259354489268144,0.9920363377578872,-0.1688763608153002,0.0512656685989789,h.all.v2026.1.Hs.symbols.gmt,50.0,4,talazoparib,Confirmatory extension,PARP inhibition
Held-out tissue folds,Hallmark pathways,Random forest,553,0.1247397634437073,0.0991217266984241,1.278196167244529,1.0130774733573953,-0.1505031802804078,0.054955167793347,h.all.v2026.1.Hs.symbols.gmt,50.0,4,talazoparib,Confirmatory extension,PARP inhibition
Random cell-line folds,Individual genes,Random forest,522,0.2472511123195088,0.2453736542290247,1.4409222979131149,1.167201021436873,0.0,0.0,not applicable,,5,vorinostat,Confirmatory extension,HDAC inhibition
Random cell-line folds,Individual genes,Elastic Net,522,0.2924609538126389,0.2887795889491534,1.4439255869833365,1.1847591417185546,0.0,0.0,not applicable,,5,vorinostat,Confirmatory extension,HDAC inhibition
Random cell-line folds,Individual genes,Mean baseline,522,-0.0868577141188016,-0.0827821921814534,1.489080621990783,1.2114691608649988,0.0,0.0,not applicable,,5,vorinostat,Confirmatory extension,HDAC inhibition
Held-out tissue folds,Individual genes,Mean baseline,522,-0.0835105815755605,-0.0847984169769325,1.4888375280560282,1.212295440164862,0.0,0.0,not applicable,,5,vorinostat,Confirmatory extension,HDAC inhibition
