source_dataset,source_file,source_rows,drug_name_requested,matching_drug_rows_all_ids,unique_sanger_models_all_ids,candidate_drug_id_count,candidate_drug_ids_ranked,selected_primary_drug_id,primary_screen_source_rows,primary_screen_unique_sanger_models,rows_excluded_from_nonprimary_drug_ids,screen_selection_rule,analysis_rows_after_resolution,unique_sanger_models,missing_sanger_model_id,within_primary_screen_duplicate_rows_collapsed,missing_ln_ic50,missing_auc,ln_ic50_min,ln_ic50_median,ln_ic50_max,auc_min,auc_median,auc_max
GDSC1,GDSC1_fitted_dose_response_27Oct23.xlsx,333161,gemcitabine,1779,957,2,1393;135,1393,920,920,859,"maximum unique Sanger-model coverage; ties by nonmissing outcomes, row count, then lexical DRUG_ID",920,920,0,0,0,0,-6.869363,-3.642291,0.69971,0.32243,0.789852,0.997216
GDSC2,GDSC2_fitted_dose_response_27Oct23.xlsx,242036,gemcitabine,960,960,1,1190,1190,960,960,0,"maximum unique Sanger-model coverage; ties by nonmissing outcomes, row count, then lexical DRUG_ID",960,960,0,0,0,0,-6.551753,-1.057096,7.716931,0.013061,0.6733990000000001,0.996614
