source_dataset,source_file,source_rows,drug_name_requested,matching_drug_rows_all_ids,unique_sanger_models_all_ids,candidate_drug_id_count,candidate_drug_ids_ranked,selected_primary_drug_id,primary_screen_source_rows,primary_screen_unique_sanger_models,rows_excluded_from_nonprimary_drug_ids,screen_selection_rule,analysis_rows_after_resolution,unique_sanger_models,missing_sanger_model_id,within_primary_screen_duplicate_rows_collapsed,missing_ln_ic50,missing_auc,ln_ic50_min,ln_ic50_median,ln_ic50_max,auc_min,auc_median,auc_max
GDSC1,GDSC1_fitted_dose_response_27Oct23.xlsx,333161,docetaxel,933,933,1,1007,1007,933,933,0,"maximum unique Sanger-model coverage; ties by nonmissing outcomes, row count, then lexical DRUG_ID",933,933,0,0,0,0,-8.514488,-4.995248,-0.215047,0.278631,0.801093,0.997245
GDSC2,GDSC2_fitted_dose_response_27Oct23.xlsx,242036,docetaxel,1637,968,2,1007;1819,1007,967,967,670,"maximum unique Sanger-model coverage; ties by nonmissing outcomes, row count, then lexical DRUG_ID",967,967,0,0,0,0,-7.30814,-4.511309,0.835716,0.57253,0.853263,0.99484
