source_dataset,source_file,source_rows,drug_name_requested,matching_drug_rows_all_ids,unique_sanger_models_all_ids,candidate_drug_id_count,candidate_drug_ids_ranked,selected_primary_drug_id,primary_screen_source_rows,primary_screen_unique_sanger_models,rows_excluded_from_nonprimary_drug_ids,screen_selection_rule,analysis_rows_after_resolution,unique_sanger_models,missing_sanger_model_id,within_primary_screen_duplicate_rows_collapsed,missing_ln_ic50,missing_auc,ln_ic50_min,ln_ic50_median,ln_ic50_max,auc_min,auc_median,auc_max
GDSC1,GDSC1_fitted_dose_response_27Oct23.xlsx,333161,bortezomib,393,393,1,104,104,393,393,0,"maximum unique Sanger-model coverage; ties by nonmissing outcomes, row count, then lexical DRUG_ID",393,393,0,0,0,0,-9.932788,-5.729274,-0.354113,0.114185,0.646838,0.987419
GDSC2,GDSC2_fitted_dose_response_27Oct23.xlsx,242036,bortezomib,957,957,1,1191,1191,957,957,0,"maximum unique Sanger-model coverage; ties by nonmissing outcomes, row count, then lexical DRUG_ID",957,957,0,0,0,0,-7.12391,-4.922139,1.83867,0.533583,0.774261,0.993507
